b42b68a7-b674-48bb-980a-769580c3648e	S915P5499N	N0000178324	INCREASED HEMATOPOIETIC STEM CELL MOBILIZATION [PE]
b42b68a7-b674-48bb-980a-769580c3648e	S915P5499N	N0000178326	HEMATOPOIETIC STEM CELL MOBILIZER [EPC]
0151dceb-6cce-4231-9944-accb83cf7df5	U3P01618RT	N0000175595	NUCLEOSIDE METABOLIC INHIBITOR [EPC]
0151dceb-6cce-4231-9944-accb83cf7df5	U3P01618RT	N0000000233	NUCLEIC ACID SYNTHESIS INHIBITORS [MOA]
c5225e62-2847-489e-8c25-4f69c1ae407d	Q573I9DVLP	N0000007151	FOLIC ACID [CHEMICAL/INGREDIENT]
c5225e62-2847-489e-8c25-4f69c1ae407d	Q573I9DVLP	N0000178369	FOLATE ANALOG [EPC]
f555f741-d865-4abf-b828-1e427d00d7f5	A4YJ7J11TG	N0000180185	RADIOGRAPHIC CONTRAST AGENT [EPC]
f555f741-d865-4abf-b828-1e427d00d7f5	A4YJ7J11TG	N0000010258	X-RAY CONTRAST ACTIVITY [MOA]
6a4e78f7-9818-4bc5-a995-6180424ff76c	D7974DM2EJ	N0000185001	INCREASED IGG PRODUCTION [PE]
6a4e78f7-9818-4bc5-a995-6180424ff76c	D7974DM2EJ	N0000185021	STANDARDIZED INSECT VENOM PROTEIN ALLERGENIC EXTRACT [EPC]
6a4e78f7-9818-4bc5-a995-6180424ff76c	D7974DM2EJ	N0000171131	ALLERGENS [CHEMICAL/INGREDIENT]
6a4e78f7-9818-4bc5-a995-6180424ff76c	D7974DM2EJ	N0000184306	CELL-MEDIATED IMMUNITY [PE]
6a4e78f7-9818-4bc5-a995-6180424ff76c	D7974DM2EJ	N0000171464	WASP VENOMS [CHEMICAL/INGREDIENT]
6a4e78f7-9818-4bc5-a995-6180424ff76c	D7974DM2EJ	N0000175629	INCREASED HISTAMINE RELEASE [PE]
b2137987-27af-472e-bb16-121b33f41161	144O8QL0L1	N0000175722	NONSTEROIDAL ANTI-INFLAMMATORY DRUG [EPC]
b2137987-27af-472e-bb16-121b33f41161	144O8QL0L1	N0000000160	CYCLOOXYGENASE INHIBITORS [MOA]
b2137987-27af-472e-bb16-121b33f41161	144O8QL0L1	N0000175721	NONSTEROIDAL ANTI-INFLAMMATORY COMPOUNDS [CHEMICAL/INGREDIENT]
b2137987-27af-472e-bb16-121b33f41161	144O8QL0L1	N0000008836	DECREASED PROSTAGLANDIN PRODUCTION [PE]
97d9288a-d1ea-4de6-8ce8-3d259c6f77a9	90H4W0ILVO	N0000185001	INCREASED IGG PRODUCTION [PE]
