0e21eeb6-ad1f-40ad-940f-a1bf67ed1ed0	41X3PWK4O2	N0000175428	GLINIDE [EPC]
0e21eeb6-ad1f-40ad-940f-a1bf67ed1ed0	41X3PWK4O2	N0000175448	POTASSIUM CHANNEL ANTAGONISTS [MOA]
d4c2ad97-0829-4399-8257-f97afeed2136	458VC51857	N0000175815	SEROTONIN-4 RECEPTOR ANTAGONIST [EPC]
d4c2ad97-0829-4399-8257-f97afeed2136	458VC51857	N0000175816	SEROTONIN 4 RECEPTOR ANTAGONISTS [MOA]
61762929-d59f-4e95-8454-b6b14f5b8767	033KF7V46H	N0000007663	NITROIMIDAZOLES [CHEMICAL/INGREDIENT]
61762929-d59f-4e95-8454-b6b14f5b8767	033KF7V46H	N0000175435	NITROIMIDAZOLE ANTIMICROBIAL [EPC]
4b693ff6-fad0-4968-8300-0070d62449a4	3DIZ9LF5Y9	N0000175907	VITAMIN D2 ANALOG [EPC]
4b693ff6-fad0-4968-8300-0070d62449a4	3DIZ9LF5Y9	N0000006337	ERGOCALCIFEROLS [CHEMICAL/INGREDIENT]
61ad4e82-13f6-458b-b07f-4e19d7937756	2E1M7F958B	N0000171130	VACCINES, CONJUGATE [CHEMICAL/INGREDIENT]
61ad4e82-13f6-458b-b07f-4e19d7937756	2E1M7F958B	N0000183364	ACTIVELY ACQUIRED IMMUNITY [PE]
61ad4e82-13f6-458b-b07f-4e19d7937756	2E1M7F958B	N0000011295	PNEUMOCOCCAL VACCINES [CHEMICAL/INGREDIENT]
61ad4e82-13f6-458b-b07f-4e19d7937756	2E1M7F958B	N0000183897	INACTIVATED PNEUMOCOCCAL VACCINE [EPC]
61c7e2dd-6c5a-4cd5-87d0-7263bc153637	WI4X0X7BPJ	N0000175450	CORTICOSTEROID HORMONE RECEPTOR AGONISTS [MOA]
61c7e2dd-6c5a-4cd5-87d0-7263bc153637	WI4X0X7BPJ	N0000175576	CORTICOSTEROID [EPC]
b90fc653-a21a-40b0-96fe-f52a5e81c04f	X1J18R4W8P	N0000007707	DIPHOSPHONATES [CHEMICAL/INGREDIENT]
b90fc653-a21a-40b0-96fe-f52a5e81c04f	X1J18R4W8P	N0000175579	BISPHOSPHONATE [EPC]
55fefdda-4791-4c65-8fa2-0a5022432096	N29QWW3BUO	N0000175824	ANDROGEN [EPC]
