2-METHOXYESTRADIOL	http://www.drugbank.ca/drugs/DB02342	13544
3-TYROSINE	http://www.drugbank.ca/drugs/DB02387	\N
4-HYDROXYBUTANOIC ACID	http://www.drugbank.ca/drugs/DB01440	1546380
5-IODOURACIL	http://www.drugbank.ca/drugs/DB03554	\N
7-HYDROXYSTAUROSPORINE	http://www.drugbank.ca/drugs/DB01933	\N
8-AZAGUANINE	http://www.drugbank.ca/drugs/DB01667	1252
ABACAVIR	http://www.drugbank.ca/drugs/DB01048	190521
ABARELIX	http://www.drugbank.ca/drugs/DB00106	301739
ABATACEPT	http://www.drugbank.ca/drugs/DB01281	614391
ABCIXIMAB	http://www.drugbank.ca/drugs/DB00054	83929
ABIRATERONE	http://www.drugbank.ca/drugs/DB05812	1100072
ACADESINE	http://www.drugbank.ca/drugs/DB04944	17199
ACAMPROSATE	http://www.drugbank.ca/drugs/DB00659	82819
ACARBOSE	http://www.drugbank.ca/drugs/DB00284	16681
ACEBUTOLOL	http://www.drugbank.ca/drugs/DB01193	149
ACECLOFENAC	http://www.drugbank.ca/drugs/DB06736	16689
ACEDIASULFONE	http://www.drugbank.ca/drugs/DB08926	\N
ACEDOBEN	http://www.drugbank.ca/drugs/DB04500	\N
ACEGLUTAMIDE	http://www.drugbank.ca/drugs/DB04167	1426379
ACENOCOUMAROL	http://www.drugbank.ca/drugs/DB01418	154
ACEPROMAZINE	http://www.drugbank.ca/drugs/DB01614	155
ACEPROMETAZINE	http://www.drugbank.ca/drugs/DB01615	161203
ACETAMINOPHEN	http://www.drugbank.ca/drugs/DB00316	161
ACETAMINOPHEN	http://www.drugbank.ca/drugs/DB00316	993045
ACETAZOLAMIDE	http://www.drugbank.ca/drugs/DB00819	167
ACETIC ACID	http://www.drugbank.ca/drugs/DB03166	168
ACETOHEXAMIDE	http://www.drugbank.ca/drugs/DB00414	173
ACETOHYDROXAMIC ACID	http://www.drugbank.ca/drugs/DB00551	16728
ACETOPHENAZINE	http://www.drugbank.ca/drugs/DB01063	16735
ACETOPHENONE	http://www.drugbank.ca/drugs/DB04619	16736
ACETORPHINE	http://www.drugbank.ca/drugs/DB01469	\N
ACETRIZOIC ACID	http://www.drugbank.ca/drugs/DB09347	184
ACETYLCARNITINE	http://www.drugbank.ca/drugs/DB08842	193
ACETYLCHOLINE	http://www.drugbank.ca/drugs/DB03128	194
ACETYLCYSTEINE	http://www.drugbank.ca/drugs/DB06151	197
ACETYLDIGITOXIN	http://www.drugbank.ca/drugs/DB00511	132871
ACITRETIN	http://www.drugbank.ca/drugs/DB00459	16818
ACLARUBICIN	http://www.drugbank.ca/drugs/DB11617	239
ACLIDINIUM	http://www.drugbank.ca/drugs/DB08897	1303098
ACRIVASTINE	http://www.drugbank.ca/drugs/DB09488	19959
ACTIVATED CHARCOAL	http://www.drugbank.ca/drugs/DB09278	272
ACYCLOVIR	http://www.drugbank.ca/drugs/DB00787	281
ADALIMUMAB, LICENSE HOLDER UNSPECIFIED	http://www.drugbank.ca/drugs/DB00051	\N
ADAPALENE	http://www.drugbank.ca/drugs/DB00210	60223
ADEFOVIR DIPIVOXIL	http://www.drugbank.ca/drugs/DB00718	141400
ADEMETIONINE	http://www.drugbank.ca/drugs/DB00118	9504
ADENINE	http://www.drugbank.ca/drugs/DB00173	290
ADENOSINE CYCLIC PHOSPHATE	http://www.drugbank.ca/drugs/DB02527	1314330
ADENOSINE	http://www.drugbank.ca/drugs/DB00640	296
ADENOSINE PHOSPHATE	http://www.drugbank.ca/drugs/DB00131	309
ADENOSINE PHOSPHATE	http://www.drugbank.ca/drugs/DB00415	309
ADENOSINE TRIPHOSPHATE	http://www.drugbank.ca/drugs/DB00171	318
ADINAZOLAM	http://www.drugbank.ca/drugs/DB00546	17048
ADIPIC ACID DIHYDRAZIDE	http://www.drugbank.ca/drugs/DB00067	\N
ADO-TRASTUZUMAB EMTANSINE	http://www.drugbank.ca/drugs/DB05773	1371041
ADRAFINIL	http://www.drugbank.ca/drugs/DB08925	45938
AFAMELANOTIDE	http://www.drugbank.ca/drugs/DB04931	842620
AFATINIB	http://www.drugbank.ca/drugs/DB08916	1430438
